year,cases
1960,150.9616846
1961,232.9056161
1962,137.2294396
1963,126.9702022
1964,92.6305212
1965,74.39679122
1966,98.18089828
1967,69.77361248
1968,56.3840765
1969,65.78638266
1970,39.96379062
1971,35.52707844
1972,56.97728848
