year,cases
1960,49.9801616
1961,40.73265399
1962,16.79760679
1963,10.72373144
1964,7.746990534
1965,7.769528338
1966,5.75318862
1967,2.834027755
1968,1.906103623
1969,1.902778517
1970,0.996017679
1971,1.018946517
1972,0.64325087
